date,sunspot_ms
1855-12,   6.0
1856-01,   6.3
1856-02,   6.9
1856-03,   7.5
1856-04,   7.4
1856-05,   7.3
1856-06,   7.9
1856-07,   9.3
1856-08,  10.5
1856-09,  11.1
1856-10,  11.8
1856-11,  14.5
1856-12,  17.6
1857-01,  19.8
1857-02,  22.1
1857-03,  26.0
1857-04,  31.8
1857-05,  36.6
1857-06,  40.8
1857-07,  45.2
1857-08,  49.4
1857-09,  55.7
1857-10,  62.0
1857-11,  65.1
1857-12,  68.4
1858-01,  73.4
1858-02,  79.1
1858-03,  85.2
1858-04,  92.2
1858-05,  97.8
1858-06, 101.8
1858-07, 107.6
1858-08, 115.3
1858-09, 122.1
1858-10, 128.5
1858-11, 136.1
1858-12, 143.4
1859-01, 149.8
1859-02, 157.0
1859-03, 163.1
1859-04, 167.0
1859-05, 172.4
1859-06, 177.1
1859-07, 178.1
1859-08, 178.1
1859-09, 178.8
1859-10, 178.4
1859-11, 178.5
1859-12, 181.5
1860-01, 185.0
1860-02, 186.2
1860-03, 184.6
1860-04, 181.5
1860-05, 179.7
1860-06, 180.9
1860-07, 180.4
1860-08, 178.0
1860-09, 177.3
1860-10, 179.6
1860-11, 177.8
1860-12, 172.2
1861-01, 167.5
1861-02, 163.0
1861-03, 160.6
1861-04, 157.9
1861-05, 152.6
1861-06, 147.8
1861-07, 146.7
1861-08, 145.7
1861-09, 140.1
1861-10, 132.0
1861-11, 129.1
1861-12, 129.4
1862-01, 128.7
1862-02, 126.7
1862-03, 124.1
1862-04, 121.0
1862-05, 118.8
1862-06, 115.4
1862-07, 111.1
1862-08, 109.3
1862-09, 110.5
1862-10, 111.3
1862-11, 109.4
1862-12, 105.1
1863-01,  98.5
1863-02,  94.1
1863-03,  89.4
1863-04,  85.7
1863-05,  84.5
1863-06,  83.5
1863-07,  84.3
1863-08,  84.3
1863-09,  83.5
1863-10,  83.1
1863-11,  81.7
1863-12,  82.0
1864-01,  85.1
1864-02,  87.4
1864-03,  88.5
1864-04,  88.5
1864-05,  89.6
1864-06,  90.2
1864-07,  88.5
1864-08,  87.1
1864-09,  84.4
1864-10,  81.8
1864-11,  80.8
1864-12,  78.4
1865-01,  74.3
1865-02,  70.7
1865-03,  68.8
1865-04,  66.9
1865-05,  63.0
1865-06,  59.1
1865-07,  56.5
1865-08,  55.1
1865-09,  53.8
1865-10,  51.7
1865-11,  49.1
1865-12,  46.0
1866-01,  43.3
1866-02,  39.9
1866-03,  36.8
1866-04,  35.4
1866-05,  34.0
1866-06,  31.9
1866-07,  28.5
1866-08,  23.0
1866-09,  18.8
1866-10,  16.6
1866-11,  14.8
1866-12,  12.8
1867-01,  11.3
1867-02,  10.3
1867-03,   9.9
1867-04,  10.0
1867-05,  10.0
1867-06,  11.9
1867-07,  14.9
1867-08,  17.0
1867-09,  19.1
1867-10,  22.4
1867-11,  26.2
1867-12,  29.8
1868-01,  33.5
1868-02,  37.1
1868-03,  41.6
1868-04,  47.3
1868-05,  53.9
1868-06,  60.0
1868-07,  65.8
1868-08,  72.1
1868-09,  77.0
1868-10,  79.1
1868-11,  84.8
1868-12,  95.5
1869-01, 103.0
1869-02, 108.2
1869-03, 113.7
1869-04, 115.9
1869-05, 117.0
1869-06, 120.9
1869-07, 124.6
1869-08, 129.5
1869-09, 140.7
1869-10, 156.2
1869-11, 169.5
1869-12, 176.4
1870-01, 183.4
1870-02, 193.6
1870-03, 202.6
1870-04, 212.5
1870-05, 223.4
1870-06, 230.0
1870-07, 232.5
1870-08, 234.0
1870-09, 233.7
